pop,latency,window
pop8,32,50
pop8,59,80
pop8,69,90
pop8,73,95
pop8,88,99
pop8,236,99.9
pop8,882,99.99
pop8,1408,99.999
pop8,1408,99.9999
pop4,118,50
pop4,205,80
pop4,212,90
pop4,220,95
pop4,243,99
pop4,305,99.9
pop4,327,99.99
pop4,327,99.999
pop4,327,99.9999
pop11,222,50
pop11,236,80
pop11,251,90
pop11,279,95
pop11,361,99
pop11,674,99.9
pop11,816,99.99
pop11,816,99.999
pop11,816,99.9999
pop14,88,50
pop14,92,80
pop14,94,90
pop14,97,95
pop14,124,99
pop14,124,99.9
pop14,124,99.99
pop14,124,99.999
pop14,124,99.9999
