metro,pop choices,default pop,pop_count
metro_1,['pop10'],pop10,1
metro_2,['pop1' 'pop2' 'pop4'],pop1,3
metro_3,['pop16' 'pop5' 'pop9'],pop16,3
metro_4,['pop5' 'pop14'],pop5,2
metro_5,['pop5' 'pop16' 'pop9'],pop16,3
metro_6,['pop4'],pop4,1
metro_7,['pop5'],pop5,1
metro_8,['pop13'],pop13,1
metro_9,['pop16' 'pop5' 'pop9'],pop16,3
metro_10,['pop5' 'pop4' 'pop1'],pop5,3
metro_11,['pop1' 'pop2'],pop1,2
metro_12,['pop9'],pop9,1
metro_13,['pop1'],pop1,1
metro_14,['pop10'],pop10,1
metro_15,['pop10'],pop10,1
metro_16,['pop10'],pop10,1
metro_17,['pop10'],pop10,1
metro_18,['pop2'],pop2,1
metro_19,['pop1'],pop1,1
metro_20,['pop10'],pop10,1
metro_21,['pop10'],pop10,1
metro_22,['pop10'],pop10,1
metro_23,['pop5'],pop5,1
metro_24,['pop1' 'pop2'],pop2,2
metro_25,['pop2'],pop2,1
metro_26,['pop14' 'pop5'],pop14,2
metro_27,['pop1'],pop1,1
metro_28,['pop16'],pop16,1
metro_29,['pop5'],pop5,1
metro_30,['pop4' 'pop1' 'pop5'],pop1,3
metro_31,['pop1'],pop1,1
metro_32,['pop18' 'pop15' 'pop11'],pop18,3
metro_33,['pop10'],pop10,1
metro_34,['pop7'],pop7,1
metro_35,['pop5'],pop5,1
metro_36,['pop10'],pop10,1
metro_37,['pop1' 'pop2'],pop1,2
metro_38,['pop5' 'pop14'],pop5,2
metro_39,['pop7' 'pop15'],pop7,2
metro_40,['pop9'],pop9,1
metro_41,['pop15'],pop15,1
metro_42,['pop10'],pop10,1
metro_43,['pop10'],pop10,1
metro_44,['pop15'],pop15,1
metro_45,['pop8'],pop8,1
metro_46,['pop16'],pop16,1
metro_47,['pop8' 'pop4'],pop8,2
metro_48,['pop16'],pop16,1
metro_49,['pop5' 'pop14'],pop5,2
metro_50,['pop9'],pop9,1
metro_51,['pop15' 'pop18'],pop15,2
metro_52,['pop15'],pop15,1
metro_53,['pop1'],pop1,1
metro_54,['pop8' 'pop4'],pop4,2
metro_55,['pop10'],pop10,1
metro_56,['pop9' 'pop16'],pop9,2
metro_57,['pop4' 'pop1' 'pop2'],pop4,3
metro_58,['pop10'],pop10,1
metro_59,['pop10'],pop10,1
metro_60,['pop10'],pop10,1
metro_61,['pop10'],pop10,1
metro_62,['pop2'],pop2,1
metro_63,['pop9' 'pop16'],pop9,2
metro_64,['pop15'],pop15,1
metro_65,['pop2' 'pop1' 'pop4'],pop2,3
metro_66,['pop10'],pop10,1
metro_67,['pop10'],pop10,1
metro_68,['pop5'],pop5,1
metro_69,['pop2'],pop2,1
metro_70,['pop1' 'pop2'],pop1,2
metro_71,['pop1' 'pop2' 'pop5'],pop1,3
metro_72,['pop12'],pop12,1
metro_73,['pop1' 'pop2'],pop1,2
metro_74,['pop15' 'pop11'],pop15,2
metro_75,['pop14' 'pop5' 'pop1'],pop14,3
metro_76,['pop10'],pop10,1
metro_77,['pop4' 'pop1' 'pop5' 'pop2'],pop4,4
