metro,clients,default pop,pop chosen,lat chosen,weighted latency,execution_time
metro_24,5461,pop2,pop2,91.0,3693671.0,1.2448630332946777
metro_113,189,pop14,pop8,88.0,3693671.0,1.2448780536651611
metro_118,154,pop16,pop16,30.0,3693671.0,1.2448861598968506
metro_161,1888,pop16,pop16,79.0,3693671.0,1.2448921203613281
metro_138,862,pop1,pop2,56.0,3693671.0,1.2448980808258057
metro_208,159,pop16,pop16,51.0,3693671.0,1.2449040412902832
metro_194,199,pop16,pop16,57.0,3693671.0,1.2449111938476562
metro_203,3446,pop16,pop16,65.0,3693671.0,1.2449171543121338
metro_5,1179,pop16,pop9,109.0,3693671.0,1.2449231147766113
metro_186,835,pop4,pop4,29.0,3693671.0,1.2449290752410889
metro_190,696,pop1,pop1,35.0,3693671.0,1.2449352741241455
metro_145,184,pop15,pop18,21.0,3693671.0,1.244940996170044
metro_141,534,pop16,pop16,31.0,3693671.0,1.2449469566345215
metro_106,100,pop14,pop14,27.0,3693671.0,1.2449531555175781
metro_70,994,pop1,pop1,40.0,3693671.0,1.2449591159820557
metro_173,458,pop15,pop7,42.0,3693671.0,1.2449650764465332
metro_175,1492,pop5,pop4,148.0,3693671.0,1.2449710369110107
metro_180,44,pop8,pop8,69.0,3693671.0,1.2449772357940674
metro_54,503,pop4,pop4,90.0,3693671.0,1.244983196258545
metro_26,755,pop14,pop5,38.0,3693671.0,1.244988203048706
metro_202,2825,pop11,pop11,29.0,3693671.0,1.2449951171875
metro_221,77,pop5,pop14,58.0,3693671.0,1.2450010776519775
metro_71,442,pop1,pop1,36.0,3693671.0,1.2450060844421387
metro_32,2054,pop18,pop18,22.0,3693671.0,1.2450120449066162
metro_211,982,pop12,pop12,40.0,3693671.0,1.2450182437896729
metro_107,709,pop14,pop15,10.0,3693671.0,1.2450239658355713
metro_114,1255,pop4,pop2,39.0,3693671.0,1.245030164718628
metro_98,1018,pop1,pop2,33.0,3693671.0,1.245035171508789
metro_74,209,pop15,pop11,57.0,3693671.0,1.2450411319732666
metro_89,308,pop4,pop4,47.0,3693671.0,1.2450470924377441
metro_155,835,pop14,pop14,46.0,3693671.0,1.2450530529022217
metro_167,823,pop2,pop2,43.0,3693671.0,1.2450590133666992
metro_102,740,pop2,pop4,36.0,3693671.0,1.2450649738311768
metro_230,4046,pop1,pop1,48.0,3693671.0,1.2450711727142334
metro_192,1921,pop2,pop4,23.0,3693671.0,1.245077133178711
metro_73,1635,pop1,pop1,54.0,3693671.0,1.245082139968872
metro_11,159,pop1,pop1,50.0,3693671.0,1.2450881004333496
metro_38,1721,pop5,pop5,34.0,3693671.0,1.2450942993164062
metro_10,1479,pop5,pop5,38.0,3693671.0,1.2450990676879883
metro_127,444,pop1,pop1,41.0,3693671.0,1.245105266571045
metro_57,1236,pop4,pop4,64.0,3693671.0,1.2451109886169434
metro_168,78,pop1,pop1,46.0,3693671.0,1.245116949081421
metro_209,64,pop16,pop9,74.0,3693671.0,1.2451231479644775
metro_99,1968,pop14,pop14,37.0,3693671.0,1.245129108428955
metro_93,4248,pop1,pop1,49.0,3693671.0,1.2451350688934326
metro_147,959,pop16,pop16,52.0,3693671.0,1.2451400756835938
metro_131,226,pop4,pop4,34.0,3693671.0,1.2451462745666504
metro_95,1217,pop4,pop8,34.0,3693671.0,1.2451519966125488
metro_166,1907,pop2,pop1,40.0,3693671.0,1.2451581954956055
metro_187,223,pop6,pop6,30.0,3693671.0,1.245164155960083
metro_152,266,pop15,pop15,19.0,3693671.0,1.2451701164245605
metro_49,429,pop5,pop14,23.0,3693671.0,1.245176076889038
metro_181,581,pop1,pop1,34.0,3693671.0,1.2451820373535156
metro_110,41,pop8,pop8,69.0,3693671.0,1.2451882362365723
metro_104,884,pop2,pop2,82.0,3693671.0,1.2451939582824707
metro_116,2067,pop11,pop15,17.0,3693671.0,1.245199203491211
metro_178,118,pop1,pop1,34.0,3693671.0,1.2452051639556885
metro_207,3436,pop2,pop4,31.0,3693671.0,1.2452101707458496
metro_101,300,pop2,pop1,53.0,3693671.0,1.2452161312103271
metro_111,195,pop15,pop9,73.0,3693671.0,1.2452220916748047
metro_139,80,pop5,pop5,24.0,3693671.0,1.2452280521392822
metro_9,557,pop16,pop16,71.0,3693671.0,1.2452342510223389
metro_189,2558,pop8,pop8,41.0,3693671.0,1.245239019393921
metro_4,166,pop5,pop5,35.0,3693671.0,1.2452449798583984
metro_30,618,pop1,pop1,30.0,3693671.0,1.245253086090088
metro_63,346,pop9,pop9,28.0,3693671.0,1.2452590465545654
metro_37,426,pop1,pop2,27.0,3693671.0,1.245265245437622
metro_96,67,pop1,pop1,33.0,3693671.0,1.245270013809204
metro_2,1263,pop1,pop1,89.0,3693671.0,1.2452762126922607
metro_77,438,pop4,pop4,31.0,3693671.0,1.2452821731567383
metro_185,29,pop1,pop1,74.0,3693671.0,1.2452878952026367
metro_157,807,pop2,pop2,48.0,3693671.0,1.2452940940856934
metro_108,480,pop15,pop7,64.0,3693671.0,1.2452991008758545
metro_198,922,pop2,pop2,61.0,3693671.0,1.245305061340332
metro_170,278,pop16,pop16,82.0,3693671.0,1.2453110218048096
