metro,clients,default pop,pop chosen,lat chosen,weighted latency,execution_time
metro_24,5461,pop2,pop2,91.0,3827763.0,1.259084939956665
metro_113,189,pop14,pop8,88.0,3827763.0,1.259099006652832
metro_118,154,pop16,pop16,30.0,3827763.0,1.259105920791626
metro_161,1888,pop16,pop16,79.0,3827763.0,1.259113073348999
metro_138,862,pop1,pop2,56.0,3827763.0,1.2591190338134766
metro_208,159,pop16,pop16,51.0,3827763.0,1.2591259479522705
metro_194,199,pop16,pop16,57.0,3827763.0,1.2591321468353271
metro_203,3446,pop16,pop16,65.0,3827763.0,1.2591381072998047
metro_5,1179,pop16,pop9,109.0,3827763.0,1.2591440677642822
metro_186,835,pop4,pop4,29.0,3827763.0,1.2591500282287598
metro_190,696,pop1,pop1,35.0,3827763.0,1.2591562271118164
metro_145,184,pop15,pop15,29.0,3827763.0,1.259162187576294
metro_141,534,pop16,pop16,31.0,3827763.0,1.2591679096221924
metro_106,100,pop14,pop14,27.0,3827763.0,1.259174108505249
metro_70,994,pop1,pop1,40.0,3827763.0,1.259178876876831
metro_173,458,pop15,pop15,50.0,3827763.0,1.2591850757598877
metro_175,1492,pop5,pop4,148.0,3827763.0,1.2591910362243652
metro_180,44,pop8,pop8,69.0,3827763.0,1.2591972351074219
metro_54,503,pop4,pop4,90.0,3827763.0,1.2592029571533203
metro_26,755,pop14,pop14,53.0,3827763.0,1.259209156036377
metro_202,2825,pop11,pop11,29.0,3827763.0,1.2592151165008545
metro_221,77,pop5,pop14,58.0,3827763.0,1.2592201232910156
metro_71,442,pop1,pop1,36.0,3827763.0,1.2592260837554932
metro_32,2054,pop18,pop11,38.0,3827763.0,1.2592320442199707
metro_211,982,pop12,pop6,47.0,3827763.0,1.2592380046844482
metro_107,709,pop14,pop15,10.0,3827763.0,1.2592439651489258
metro_114,1255,pop4,pop2,39.0,3827763.0,1.2592501640319824
metro_98,1018,pop1,pop2,33.0,3827763.0,1.2592549324035645
metro_74,209,pop15,pop11,57.0,3827763.0,1.259261131286621
metro_89,308,pop4,pop4,47.0,3827763.0,1.2592670917510986
metro_155,835,pop14,pop14,46.0,3827763.0,1.2592732906341553
metro_167,823,pop2,pop2,43.0,3827763.0,1.2592790126800537
metro_102,740,pop2,pop4,36.0,3827763.0,1.2592849731445312
metro_230,4046,pop1,pop1,48.0,3827763.0,1.259291172027588
metro_192,1921,pop2,pop4,23.0,3827763.0,1.2592968940734863
metro_73,1635,pop1,pop1,54.0,3827763.0,1.259303092956543
metro_11,159,pop1,pop1,50.0,3827763.0,1.2593090534210205
metro_38,1721,pop5,pop14,49.0,3827763.0,1.2593140602111816
metro_10,1479,pop5,pop4,70.0,3827763.0,1.2593200206756592
metro_127,444,pop1,pop1,41.0,3827763.0,1.2593262195587158
metro_57,1236,pop4,pop4,64.0,3827763.0,1.2593321800231934
metro_168,78,pop1,pop1,46.0,3827763.0,1.2593379020690918
metro_209,64,pop16,pop9,74.0,3827763.0,1.2593441009521484
metro_99,1968,pop14,pop14,37.0,3827763.0,1.259350061416626
metro_93,4248,pop1,pop1,49.0,3827763.0,1.259355068206787
metro_147,959,pop16,pop16,52.0,3827763.0,1.2593610286712646
metro_131,226,pop4,pop4,34.0,3827763.0,1.2593672275543213
metro_95,1217,pop4,pop8,34.0,3827763.0,1.2593729496002197
metro_166,1907,pop2,pop1,40.0,3827763.0,1.2593791484832764
metro_187,223,pop6,pop6,30.0,3827763.0,1.2593839168548584
metro_152,266,pop15,pop15,19.0,3827763.0,1.259390115737915
metro_49,429,pop5,pop14,23.0,3827763.0,1.2593960762023926
metro_181,581,pop1,pop1,34.0,3827763.0,1.2594020366668701
metro_110,41,pop8,pop8,69.0,3827763.0,1.2594079971313477
metro_104,884,pop2,pop2,82.0,3827763.0,1.2594139575958252
metro_116,2067,pop11,pop15,17.0,3827763.0,1.2594192028045654
metro_178,118,pop1,pop1,34.0,3827763.0,1.2594249248504639
metro_207,3436,pop2,pop4,31.0,3827763.0,1.2594311237335205
metro_101,300,pop2,pop1,53.0,3827763.0,1.259437084197998
metro_111,195,pop15,pop9,73.0,3827763.0,1.2594432830810547
metro_139,80,pop5,pop14,37.0,3827763.0,1.2594490051269531
metro_9,557,pop16,pop16,71.0,3827763.0,1.2594542503356934
metro_189,2558,pop8,pop8,41.0,3827763.0,1.2594599723815918
metro_4,166,pop5,pop14,40.0,3827763.0,1.2594659328460693
metro_30,618,pop1,pop1,30.0,3827763.0,1.2594740390777588
metro_63,346,pop9,pop9,28.0,3827763.0,1.2594799995422363
metro_37,426,pop1,pop2,27.0,3827763.0,1.259486198425293
metro_96,67,pop1,pop1,33.0,3827763.0,1.259490966796875
metro_2,1263,pop1,pop1,89.0,3827763.0,1.2594971656799316
metro_77,438,pop4,pop4,31.0,3827763.0,1.2595031261444092
metro_185,29,pop1,pop1,74.0,3827763.0,1.2595088481903076
metro_157,807,pop2,pop2,48.0,3827763.0,1.2595150470733643
metro_108,480,pop15,pop15,70.0,3827763.0,1.2595210075378418
metro_198,922,pop2,pop2,61.0,3827763.0,1.259526014328003
metro_170,278,pop16,pop16,82.0,3827763.0,1.2595319747924805
