metro,clients,default pop,latency,time
metro_121,1397,pop12,33,90
metro_223,1009,pop10,26,90
metro_131,739,pop4,34,90
metro_139,985,pop5,24,90
metro_211,219,pop12,40,90
metro_99,1414,pop14,37,90
metro_111,170,pop15,175,90
metro_202,1019,pop11,29,90
metro_157,2458,pop2,48,90
metro_30,992,pop1,30,90
metro_70,4670,pop1,40,90
metro_5,412,pop16,166,90
metro_2,531,pop1,89,90
metro_141,489,pop16,31,90
metro_116,2465,pop11,56,90
metro_65,1510,pop2,54,90
metro_96,83,pop1,33,90
metro_178,2780,pop1,34,90
metro_38,1043,pop5,34,90
metro_74,183,pop15,67,90
metro_54,514,pop4,90,90
metro_186,59,pop4,29,90
metro_75,477,pop14,54,90
metro_10,132,pop5,38,90
metro_114,2793,pop4,64,90
metro_86,1191,pop1,83,90
metro_161,2715,pop16,79,90
metro_189,2304,pop8,41,90
metro_127,1118,pop1,41,90
metro_101,134,pop2,117,90
metro_77,797,pop4,31,90
metro_153,218,pop16,68,90
metro_175,719,pop5,183,90
metro_95,281,pop4,39,90
metro_194,23,pop16,57,90
metro_3,1565,pop16,92,90
metro_187,1808,pop6,30,90
metro_160,1406,pop16,81,90
metro_210,1190,pop2,39,90
metro_190,823,pop1,35,90
metro_209,1786,pop16,89,90
metro_203,935,pop16,65,90
metro_180,841,pop8,69,90
metro_4,1207,pop5,35,90
metro_145,1739,pop15,29,90
metro_39,220,pop7,100,90
metro_166,1132,pop2,48,90
metro_108,256,pop15,70,90
metro_113,1768,pop14,92,90
metro_51,126,pop15,30,90
metro_208,1751,pop16,51,90
metro_198,183,pop2,61,90
metro_47,739,pop8,78,90
metro_93,516,pop1,49,90
metro_104,2183,pop2,82,90
metro_107,310,pop14,34,90
metro_32,333,pop18,22,90
metro_152,1743,pop15,19,90
metro_138,876,pop1,57,90
metro_49,14,pop5,94,90
metro_26,570,pop14,53,90
metro_105,812,pop2,58,90
metro_181,610,pop1,34,90
metro_9,1448,pop16,71,90
metro_24,42,pop2,91,90
metro_168,215,pop1,46,90
metro_57,378,pop4,64,90
metro_110,2398,pop8,69,90
metro_11,800,pop1,50,90
metro_89,473,pop4,47,90
metro_167,246,pop2,43,90
metro_207,990,pop2,50,90
metro_136,3245,pop12,146,90
metro_102,3339,pop2,39,90
metro_81,21,pop5,57,90
